Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2005",195,194.5,195.75,194,45.71K,0.13%
"Feb 08, 2005",194.75,196,196.75,194.5,50.46K,-0.76%
"Feb 07, 2005",196.25,194.75,197.25,194.75,51.27K,0.64%
"Feb 04, 2005",195,195,195.25,194.5,30.58K,0.00%
"Feb 03, 2005",195,195,195.5,194.25,33.81K,-0.13%
"Feb 02, 2005",195.25,196.5,196.75,195,36.19K,-0.89%
"Feb 01, 2005",197,197.25,198.25,197,47.03K,0.00%
"Jan 31, 2005",197,195.5,197.5,195,37.57K,0.64%
"Jan 28, 2005",195.75,195.5,196.5,195.25,24.61K,0.00%
"Jan 27, 2005",195.75,198,198.25,195.25,50.10K,-1.51%
"Jan 26, 2005",198.75,199,200.75,198.5,36.86K,-0.13%
"Jan 25, 2005",199,197.5,199.75,197,31.58K,0.63%
"Jan 24, 2005",197.75,197,199.75,197,41.40K,0.38%
"Jan 21, 2005",197,198,198.25,196.25,29.91K,-0.38%
"Jan 20, 2005",197.75,196.75,198.25,196,42.48K,0.51%
"Jan 19, 2005",196.75,196,197.5,196,32.13K,0.38%
"Jan 18, 2005",196,197.5,197.5,195.25,38.67K,-0.63%
"Jan 14, 2005",197.25,200,200.25,197,49.26K,-1.38%
"Jan 13, 2005",200,200.5,201,198.25,54.24K,-0.25%
"Jan 12, 2005",200.5,206.25,206.5,200,97.90K,-3.02%
"Jan 11, 2005",206.75,206.75,207.75,206,31.19K,0.00%
"Jan 10, 2005",206.75,206.5,207,204.5,38.48K,0.00%
"Jan 07, 2005",206.75,207.5,209.75,205.75,96.74K,-0.96%
"Jan 06, 2005",208.75,201.5,209.5,201.5,62.90K,3.60%
"Jan 05, 2005",201.5,201,202.75,200.5,23.69K,0.25%
"Jan 04, 2005",201,201.25,201.75,200.25,40.56K,-0.37%
"Jan 03, 2005",201.75,203.5,203.5,201,45.38K,-1.47%
"Dec 30, 2004",204.75,203.25,205.25,202,37.34K,0.74%
"Dec 29, 2004",203.25,206.75,207,203,34.86K,-1.81%
"Dec 28, 2004",207,207,207.25,205.25,20.84K,-0.24%
"Dec 27, 2004",207.5,206.75,208.75,206,34.74K,0.24%
"Dec 23, 2004",207,205.25,207.25,205.25,0.16K,0.73%
"Dec 22, 2004",205.5,205.25,206,204,23.03K,-0.12%
"Dec 21, 2004",205.75,206,206.25,205,20.27K,-0.36%
"Dec 20, 2004",206.5,204.5,208,204.5,40.18K,0.98%
"Dec 17, 2004",204.5,203.25,204.75,202,24.87K,0.49%
"Dec 16, 2004",203.5,205,205,202.5,29.64K,-0.73%
"Dec 15, 2004",205,205.5,207.75,204.5,36.96K,5.13%
"Dec 14, 2004",195,197.5,197.5,194,3.48K,-1.14%
"Dec 13, 2004",197.25,193.75,197.75,193.75,3.12K,1.94%
"Dec 10, 2004",193.5,195.75,196.25,193.25,1.89K,-0.64%
"Dec 09, 2004",194.75,197.75,197.75,194,2.34K,-0.38%
"Dec 08, 2004",195.5,193.5,196.25,192.75,3.60K,0.90%
"Dec 07, 2004",193.75,197.75,198.25,192,4.92K,-2.02%
"Dec 06, 2004",197.75,197,198.75,197,3.81K,0.76%
"Dec 03, 2004",196.25,192.75,196.5,192.75,6.25K,1.95%
"Dec 02, 2004",192.5,191.5,193,191,12.27K,0.52%
"Dec 01, 2004",191.5,192.5,194.25,191.25,17.73K,-0.52%
"Nov 30, 2004",192.5,193.25,194,192.25,37.60K,-0.39%
"Nov 29, 2004",193.25,197,197,192.5,88.22K,-1.90%
"Nov 26, 2004",197,197.75,199,196.5,46.89K,-0.38%
"Nov 24, 2004",197.75,198,198.75,197.5,53.60K,-0.13%
"Nov 23, 2004",198,197.5,198.75,197.5,56.01K,0.25%
"Nov 22, 2004",197.5,199.5,200.5,197.25,73.92K,-0.88%
"Nov 19, 2004",199.25,203.5,204,199,68.67K,-2.33%
"Nov 18, 2004",204,205.25,205.75,202.75,47.40K,-0.85%
"Nov 17, 2004",205.75,203,208.5,203,61.35K,1.35%
"Nov 16, 2004",203,202.25,204,201.5,50.44K,0.25%
"Nov 15, 2004",202.5,199.25,205,199.25,74.23K,1.25%
"Nov 12, 2004",200,197,201,195.5,72.18K,1.39%
"Nov 11, 2004",197.25,198,198.5,197,57.24K,-0.50%
"Nov 10, 2004",198.25,198,204,198,80.78K,0.13%
"Nov 09, 2004",198,198,199,197.5,47.44K,0.00%
"Nov 08, 2004",198,198.5,199.25,197.25,53.89K,-0.75%
"Nov 05, 2004",199.5,197.75,200.75,197.25,67.44K,1.01%
"Nov 04, 2004",197.5,199,199.25,197.25,46.54K,-0.75%
"Nov 03, 2004",199,199.75,201,198.75,39.38K,-0.38%
"Nov 02, 2004",199.75,200,201.5,199.25,32.76K,-0.13%
"Nov 01, 2004",200,202,202.5,199.25,55.14K,-1.23%
"Oct 29, 2004",202.5,206,207.5,201.5,68.59K,-1.82%
"Oct 28, 2004",206.25,206,207.25,205.25,27.35K,0.00%
"Oct 27, 2004",206.25,206.5,208,205.5,30.30K,-0.24%
"Oct 26, 2004",206.75,204.75,207.75,203.75,38.72K,0.73%
"Oct 25, 2004",205.25,201.5,206.5,201,48.10K,1.73%
"Oct 22, 2004",201.75,204.25,204.5,201.5,45.20K,-1.22%
"Oct 21, 2004",204.25,206.25,208.75,204,48.76K,-0.85%
"Oct 20, 2004",206,206.75,209.5,205.5,41.85K,-0.48%
"Oct 19, 2004",207,204,208,202.75,51.50K,1.47%
"Oct 18, 2004",204,206,206.5,203.75,36.98K,-1.33%
"Oct 15, 2004",206.75,204,207.5,203,47.59K,1.22%
"Oct 14, 2004",204.25,205,207.25,203,45.01K,-0.49%
"Oct 13, 2004",205.25,202.5,205.75,202,48.40K,1.36%
"Oct 12, 2004",202.5,204.5,204.75,197,90.91K,-1.10%
"Oct 11, 2004",204.75,204,206.25,203.75,25.78K,0.12%
"Oct 08, 2004",204.5,205.75,206,204.25,32.55K,-0.73%
"Oct 07, 2004",206,207,209.5,205.75,33.12K,-0.60%
"Oct 06, 2004",207.25,204.25,209,203,48.13K,1.34%
"Oct 05, 2004",204.5,203,206,202.5,41.41K,0.86%
"Oct 04, 2004",202.75,205.25,206,202.5,42.21K,-1.58%
"Oct 01, 2004",206,205.5,207.25,205,31.16K,0.24%
"Sep 30, 2004",205.5,207,207,204,45.48K,-0.84%
"Sep 29, 2004",207.25,208.5,210.25,206.75,35.19K,-0.60%
"Sep 28, 2004",208.5,207.25,209.75,206.5,32.09K,0.36%
"Sep 27, 2004",207.75,205,211,204.75,58.78K,1.22%
"Sep 24, 2004",205.25,207.75,208,205,42.77K,-1.20%
"Sep 23, 2004",207.75,210,210.5,207,40.96K,-1.19%
"Sep 22, 2004",210.25,212.75,213.75,210,43.95K,-1.18%
"Sep 21, 2004",212.75,212.5,214,212.25,37.56K,0.00%
"Sep 20, 2004",212.75,215,215.25,212.5,36.93K,-1.16%
"Sep 17, 2004",215.25,216.25,217.5,215,31.93K,-0.46%
"Sep 16, 2004",216.25,218.25,219.75,216,36.09K,-1.03%
"Sep 15, 2004",218.5,217.5,220,217.25,37.20K,5.81%
"Sep 14, 2004",206.5,210,211,206.25,1.32K,-1.78%
"Sep 13, 2004",210.25,211.25,211.25,207,1.60K,-0.24%
"Sep 10, 2004",210.75,216.25,216.25,210,1.19K,-3.10%
"Sep 09, 2004",217.5,217.75,218.25,216.75,3.03K,0.23%
"Sep 08, 2004",217,219,220,216.75,4.35K,-1.03%
"Sep 07, 2004",219.25,221.5,221.5,218,5.41K,-1.90%
"Sep 03, 2004",223.5,227,227,222.5,5.34K,-1.87%
"Sep 02, 2004",227.75,233,234,226.5,6.97K,-2.46%
"Sep 01, 2004",233.5,230.5,234,228.5,8.99K,2.52%
"Aug 31, 2004",227.75,225,228,223.25,15.84K,1.45%
"Aug 30, 2004",224.5,220,228.75,219.75,32.90K,1.93%
"Aug 27, 2004",220.25,225,226.75,220,18.66K,-2.22%
"Aug 26, 2004",225.25,227.5,228.5,224.75,9.52K,-1.21%
"Aug 25, 2004",228,231.75,235,227,20.64K,-1.83%
"Aug 24, 2004",232.25,233.25,234,231.25,18.60K,-0.85%
"Aug 23, 2004",234.25,230.75,235,228.75,14.44K,1.30%
"Aug 20, 2004",231.25,229,231.5,226.5,13.54K,0.87%
"Aug 19, 2004",229.25,225.5,229.5,225,12.10K,1.66%
"Aug 18, 2004",225.5,228,228.25,224.75,13.68K,-1.31%
"Aug 17, 2004",228.5,223,230.25,223,18.99K,2.81%
"Aug 16, 2004",222.25,217,222.5,215.25,14.04K,2.07%
"Aug 13, 2004",217.75,218,218.5,215.5,10.04K,-0.11%
"Aug 12, 2004",218,221,222.5,216,28.92K,-1.25%
"Aug 11, 2004",220.75,224.5,225.75,220.5,27.63K,-1.67%
"Aug 10, 2004",224.5,226.75,227,223.5,22.40K,-1.10%
"Aug 09, 2004",227,226.25,228.25,225.75,20.32K,0.55%
"Aug 06, 2004",225.75,224.5,227,223.5,23.61K,0.78%
"Aug 05, 2004",224,221.25,225,220,18.81K,1.24%
"Aug 04, 2004",221.25,219,222.5,217.75,18.04K,0.91%
"Aug 03, 2004",219.25,218.5,219.75,216.25,17.10K,0.46%
"Aug 02, 2004",218.25,218.75,219.25,216.5,19.10K,0.46%
"Jul 30, 2004",217.25,218.75,221.5,216.5,11.86K,-0.57%
"Jul 29, 2004",218.5,218.5,222.5,218,16.02K,0.00%
"Jul 28, 2004",218.5,222,223.25,217.5,14.53K,-1.69%
"Jul 27, 2004",222.25,223,224,220.75,14.03K,-0.45%
"Jul 26, 2004",223.25,223.5,223.5,218,16.77K,-0.22%
"Jul 23, 2004",223.75,219.25,225.25,219.25,18.05K,2.05%
"Jul 22, 2004",219.25,226,226.25,219,26.41K,-3.09%
"Jul 21, 2004",226.25,233.5,234,225.75,23.09K,-3.31%
"Jul 20, 2004",234,236.5,237.5,232.75,16.37K,-1.27%
"Jul 19, 2004",237,238.25,238.5,235.5,16.71K,-0.84%
"Jul 16, 2004",239,242,242,238.75,16.52K,-1.44%
"Jul 15, 2004",242.5,246.5,246.75,242,17.00K,0.21%
"Jul 14, 2004",242,242,244.25,241,1.13K,0.10%
"Jul 13, 2004",241.75,244,244.75,240.75,2.45K,-1.12%
"Jul 12, 2004",244.5,240,245,239.5,1.49K,0.93%
"Jul 09, 2004",242.25,245,245,242,1.82K,-0.92%
"Jul 08, 2004",244.5,248.5,248.5,243.75,3.88K,-2.00%
"Jul 07, 2004",249.5,250.25,252,248.5,4.72K,0.00%
"Jul 06, 2004",249.5,253.5,253.5,249,3.96K,-2.25%
"Jul 02, 2004",255.25,257,257,254.5,7.05K,-0.87%
"Jul 01, 2004",257.5,257.5,259.25,252.5,15.66K,0.00%
"Jun 30, 2004",257.5,267.75,268,254.5,26.66K,-3.92%
"Jun 29, 2004",268,271.25,274,266.5,39.31K,-1.20%
"Jun 28, 2004",271.25,274.75,274.75,270,27.97K,-1.81%
"Jun 25, 2004",276.25,273,276.75,273,22.15K,1.10%
"Jun 24, 2004",273.25,275.5,277.5,271.75,20.75K,-0.46%
"Jun 23, 2004",274.5,267.5,275,265.5,23.04K,2.52%
"Jun 22, 2004",267.75,274.75,275.5,266.5,32.83K,-2.46%
