LOCAL_DATE,mean_temp,mean_prec,,,,
28/08/1980 00:00,14.33846154,137.2,28/08/1980,85.66,62.26865672,0.024207921
29/08/1980 00:00,14.27692308,12.4,29/08/1980,86.175,63.115,0.062524752
30/08/1980 00:00,15.15384615,44.9,30/08/1980,84.15,63.11,0.097164179
31/08/1980 00:00,15.9,63.9,31/08/1980,84.10606061,63.50753769,0.12159204
01/09/1980 00:00,16.77692308,119.5,01/09/1980,85.35323383,63.09452736,0.150689655
02/09/1980 00:00,16.65384615,62.3,02/09/1980,85.76237624,62.40594059,0.112660099
03/09/1980 00:00,14.7,48.4,03/09/1980,86.05940594,61.57920792,0.096009852
04/09/1980 00:00,13.83846154,5.5,04/09/1980,85.6980198,61.03465347,0.087871287
05/09/1980 00:00,15.77692308,10,05/09/1980,86.87623762,61.48019802,0.050788177
06/09/1980 00:00,16.4,26.3,06/09/1980,87.44554455,62.56435644,0.078960396
07/09/1980 00:00,15.16153846,13.6,07/09/1980,85.83663366,62.82673267,0.099211823
08/09/1980 00:00,12.04615385,30.2,08/09/1980,86.07425743,61.53465347,0.064876847
09/09/1980 00:00,13.10769231,42,09/09/1980,82.58415842,58.11881188,0.140394089
10/09/1980 00:00,13.48461538,6.9,10/09/1980,80.10891089,56.88059701,0.030788177
11/09/1980 00:00,13.22307692,14.8,11/09/1980,81.5,57.31683168,0.07137931
12/09/1980 00:00,10.59230769,8.4,12/09/1980,82.37623762,59.31188119,0.111732673
13/09/1980 00:00,11.16153846,72.8,13/09/1980,81.6039604,60.5990099,0.089704433
14/09/1980 00:00,11.66153846,123.4,14/09/1980,80.52475248,60.11881188,0.060837438
15/09/1980 00:00,11.24615385,47.8,15/09/1980,80.03960396,58.01980198,0.014679803
16/09/1980 00:00,10.29230769,44.7,16/09/1980,79.425,54.63861386,0.130935961
17/09/1980 00:00,9.461538462,34.7,17/09/1980,78.39108911,54.26732673,0.171428571
18/09/1980 00:00,8.730769231,13.2,18/09/1980,77.99009901,55.78712871,0.071773399
19/09/1980 00:00,10.22307692,50.3,19/09/1980,80.88118812,57.07425743,0.0591133
20/09/1980 00:00,10.89230769,86.3,20/09/1980,81.24752475,60.01980198,0.113415842
21/09/1980 00:00,9.976923077,122.2,21/09/1980,82.33168317,60.72277228,0.050344828
22/09/1980 00:00,10.65384615,78.5,22/09/1980,80.91089109,58.3960396,0.091683168
23/09/1980 00:00,9.869230769,27.4,23/09/1980,77.24752475,54.31188119,0.052660099
24/09/1980 00:00,6.553846154,20,24/09/1980,76.21287129,53.55445545,0.062227723
25/09/1980 00:00,7.569230769,16.6,25/09/1980,74.56930693,53.58910891,0.167044335
26/09/1980 00:00,8.892307692,119.4,26/09/1980,73.43069307,50.66831683,0.088522167
27/09/1980 00:00,8.576923077,13.2,27/09/1980,73.05445545,50.17326733,0.059802956
28/09/1980 00:00,8.653846154,5.6,28/09/1980,73.52736318,51.87128713,0.150197044
29/09/1980 00:00,9.023076923,15.4,29/09/1980,76.36318408,53.35148515,0.140837438
30/09/1980 00:00,11.34615385,18.1,30/09/1980,78.29353234,54.48019802,0.172463054
01/10/1980 00:00,10.79230769,11.8,01/10/1980,77.8159204,53.73134328,0.023019802
02/10/1980 00:00,10.92307692,56.7,02/10/1980,74.11442786,50.44278607,0.042376238
03/10/1980 00:00,11.34615385,53.4,03/10/1980,70.12437811,46.49751244,0.078656716
04/10/1980 00:00,11.12307692,73.2,04/10/1980,69.90547264,44.91044776,0.046138614
05/10/1980 00:00,11.60769231,4.4,05/10/1980,71.02487562,44.77114428,0.010742574
06/10/1980 00:00,11.4,46.2,06/10/1980,73.08955224,45.43283582,0.012128713
07/10/1980 00:00,11.36923077,57.5,07/10/1980,77.27860697,46.91542289,0.003564356
08/10/1980 00:00,11.12307692,25.8,08/10/1980,79.685,48.675,0.010940594
09/10/1980 00:00,7.561538462,16.2,09/10/1980,77.18,48.12,0.004009901
10/10/1980 00:00,6.030769231,5.8,10/10/1980,74.27,47.27,0.013465347
11/10/1980 00:00,6.453846154,41.8,11/10/1980,69.71641791,45.8358209,0.036915423
12/10/1980 00:00,7.107692308,61,12/10/1980,65.71641791,42.02985075,0.033880597
13/10/1980 00:00,5.469230769,44.3,13/10/1980,65.51741294,41.30845771,0.03519802
14/10/1980 00:00,3.776923077,22.1,14/10/1980,65.70149254,42.94029851,0.0660199
15/10/1980 00:00,3.730769231,4.5,15/10/1980,65.6318408,45.960199,0.104676617
16/10/1980 00:00,4.084615385,16.5,16/10/1980,68.65671642,48.09452736,0.180199005
17/10/1980 00:00,6.769230769,40.2,17/10/1980,69.23880597,48.62189055,0.166089109
18/10/1980 00:00,9.384615385,40.6,18/10/1980,66.26368159,47.37313433,0.200940594
19/10/1980 00:00,8.130769231,14.5,19/10/1980,65.98,44.065,0.052128713
20/10/1980 00:00,5.330769231,10.7,20/10/1980,65.70149254,42.58706468,0.006633663
21/10/1980 00:00,3.561538462,22.7,21/10/1980,66.64,42.12935323,0.013712871
22/10/1980 00:00,2.438461538,4.2,22/10/1980,65.41791045,41.20895522,0.019004975
23/10/1980 00:00,1.815384615,16.3,23/10/1980,63.19402985,41.47761194,0.074207921
24/10/1980 00:00,2.9,11.7,24/10/1980,60.29850746,39.43781095,0.159950495
25/10/1980 00:00,2.892307692,105.1,25/10/1980,56.55721393,36.95024876,0.272487562
26/10/1980 00:00,3.407692308,113.9,26/10/1980,54.31343284,35.81094527,0.068564356
27/10/1980 00:00,1.484615385,3.6,27/10/1980,55.015,37.515,0.202821782
28/10/1980 00:00,2.253846154,11.2,28/10/1980,54.59701493,36.80099502,0.136336634
29/10/1980 00:00,3.261538462,1.4,29/10/1980,54.87562189,34.51243781,0.026683168
30/10/1980 00:00,3.207692308,0,30/10/1980,59.17910448,35.24875622,0.038613861
31/10/1980 00:00,3.715384615,34.8,31/10/1980,64.03015075,36.59090909,0.009851485
01/11/1980 00:00,3.630769231,12.3,01/11/1980,63.17326733,37.92079208,0.018168317
