Date,Price,Open,High,Low,Vol.,Change %
26/06/1996,492.50,501,501,492,9.32K,-1.94%
25/06/1996,502.25,500,507,499,8.47K,0.55%
24/06/1996,499.50,491.5,502.5,489.5,7.85K,1.68%
21/06/1996,491.25,485,493.5,485,8.53K,0.77%
20/06/1996,487.50,492.75,493,484,10.98K,-1.22%
19/06/1996,493.50,502.5,502.5,492.5,8.30K,-1.79%
18/06/1996,502.50,490,507,489,16.96K,2.13%
17/06/1996,492.00,497,505,491,10.46K,-0.81%
14/06/1996,496.00,505,506,495,9.80K,-1.73%
13/06/1996,504.75,495,507,488,15.52K,2.07%
12/06/1996,494.50,507,509,492,13.05K,-2.85%
11/06/1996,509.00,521.25,524.5,499.5,14.51K,-2.02%
10/06/1996,519.50,505.5,521.5,505.25,16.25K,3.43%
07/06/1996,502.25,497.25,504.5,495,11.63K,1.62%
06/06/1996,494.25,488,506,485,17.96K,1.13%
05/06/1996,488.75,500,501,486,21.24K,-2.45%
04/06/1996,501.00,522,527,501,21.87K,-3.84%
03/06/1996,521.00,524.5,524.5,508.75,17.58K,8.88%
01/06/1996,478.50,524.5,527,470.5,258.71K,-9.50%
31/05/1996,528.75,530,530,520,11.30K,0.48%
30/05/1996,526.25,522,530,518.5,21.96K,0.05%
29/05/1996,526.00,541.5,547,526,16.71K,-3.66%
28/05/1996,546.00,563,565.5,541,21.92K,-2.67%
24/05/1996,561.00,559.5,563,557,12.05K,0.27%
23/05/1996,559.50,563,566,555.5,16.00K,-0.58%
22/05/1996,562.75,576,584,558,20.20K,-5.58%
21/05/1996,596.00,625,659,595,3.44K,-4.64%
20/05/1996,625.00,626,666,610,0.03K,-7.54%
17/05/1996,676.00,678,684,676,0.03K,0.90%
16/05/1996,670.00,673,675,663,0.08K,0.00%
15/05/1996,670.00,670,675,658,0.07K,0.30%
14/05/1996,668.00,650,668,650,0.04K,2.14%
13/05/1996,654.00,655,662,650,0.08K,1.08%
10/05/1996,647.00,655,655,638,0.07K,-1.56%
09/05/1996,657.25,666,667,645,0.27K,-0.87%
08/05/1996,663.00,659.75,665,645,0.35K,2.16%
07/05/1996,649.00,630,650,628,0.13K,3.51%
06/05/1996,627.00,633.5,633.5,618,0.17K,0.72%
03/05/1996,622.50,620,646,620,0.37K,0.40%
02/05/1996,620.00,677,690,617,0.83K,-8.28%
01/05/1996,676.00,655,678,652,1.43K,5.38%
30/04/1996,641.50,652,664.5,630,1.41K,-1.53%
29/04/1996,651.50,715,717,648,2.75K,-9.07%
26/04/1996,716.50,711.5,716.5,692,4.43K,2.87%
25/04/1996,696.50,682,696.5,680,3.17K,2.96%
24/04/1996,676.50,657,680,625,5.34K,3.52%
23/04/1996,653.50,635,654,635,4.70K,4.06%
22/04/1996,628.00,612,628,612,1.04K,3.29%
19/04/1996,608.00,603,615,595,3.95K,1.25%
18/04/1996,600.50,571,601,571,4.23K,5.17%
17/04/1996,571.00,561.5,572,553,3.49K,0.75%
16/04/1996,566.75,585.75,591,566.75,4.64K,-3.41%
15/04/1996,586.75,583,598,574,4.66K,0.73%
12/04/1996,582.50,565,585,549,5.75K,3.37%
11/04/1996,563.50,551,579.75,551,8.82K,2.50%
10/04/1996,549.75,529.5,549.75,527.5,4.19K,3.78%
09/04/1996,529.75,525,534.75,525,5.86K,0.86%
08/04/1996,525.25,521.5,535,520.5,4.81K,0.53%
04/04/1996,522.50,520.25,529,518,4.27K,-0.10%
03/04/1996,523.00,512,524,508,6.48K,2.15%
02/04/1996,512.00,512,521.5,510,9.34K,0.10%
01/04/1996,511.50,499,517,496,6.95K,2.45%
29/03/1996,499.25,497.5,503,491,6.11K,0.35%
28/03/1996,497.50,498,499,495.25,3.85K,-0.65%
27/03/1996,500.75,501,502,494,6.24K,-0.45%
26/03/1996,503.00,497,506,495,12.55K,2.50%
25/03/1996,490.75,482,491,480,5.19K,1.87%
22/03/1996,481.75,480,485,479.5,4.25K,0.21%
21/03/1996,480.75,481,482.5,474.5,6.30K,-24.88%
20/03/1996,640.00,507,750,506.5,11.28K,26.23%
19/03/1996,507.00,503,507,498,0.80K,1.00%
18/03/1996,502.00,497,503,497,0.83K,1.01%
15/03/1996,497.00,503,504,495,2.06K,-1.97%
14/03/1996,507.00,518,522,506,1.44K,-1.65%
13/03/1996,515.50,508,516,508,0.79K,1.28%
12/03/1996,509.00,513.25,516,506,1.29K,-1.40%
11/03/1996,516.25,516,518.25,514,1.81K,-0.05%
08/03/1996,516.50,514,517,509.5,1.49K,0.63%
07/03/1996,513.25,505.5,514,505.5,0.99K,1.99%
06/03/1996,503.25,508,514,501,1.17K,-1.18%
05/03/1996,509.25,513,518.5,505,1.80K,-0.63%
04/03/1996,512.50,511,513,506,2.43K,-0.58%
01/03/1996,515.50,512.25,517.5,510,2.55K,0.59%
29/02/1996,512.50,509.5,513,505,6.00K,0.89%
28/02/1996,508.00,507.5,512,503,9.06K,-0.10%
27/02/1996,508.50,506,513,505,7.09K,0.44%
26/02/1996,506.25,505,508,504,4.80K,0.70%
23/02/1996,502.75,501,505.5,499,8.62K,1.46%
